TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
BOS,BOS @ ORL,11/5/17,W,48,104,88,16,66.7,1.86,18.6,26.4,78.3,54,14,50,53.2,100,62.5
BOS,BOS @ OKC,11/3/17,W,48,107.4,100,7.4,63.9,2.09,17.7,27.5,75.5,51.9,11.7,50.6,53.4,94,54.2
BOS,BOS vs. SAC,11/1/17,W,48,124.2,94.5,29.7,75,1.67,21.6,45.2,77.1,62.2,19.8,59.1,62.5,91,64.5
BOS,BOS vs. SAS,10/30/17,W,48,113.7,100,13.7,57.1,1.6,18,36.2,73.7,56.7,15.8,54,56.8,94.5,58.1
BOS,BOS @ MIA,10/28/17,W,48,103.2,96.8,6.5,44.1,1.25,12.3,28.6,71.1,48.9,12.9,45.7,51.9,93,55.5
BOS,BOS @ MIL,10/26/17,W,48,97,91.8,5.2,63.6,1.31,16.5,19.6,88.9,53.8,16.2,49.4,54.7,98,56.4
BOS,BOS vs. NYK,10/24/17,W,48,113.4,91.8,21.6,70.3,1.86,20,17.9,71.7,48.9,14.4,58.7,63.3,97,61.9
BOS,BOS @ PHI,10/20/17,W,48,102,93.9,8.1,45.7,0.84,11.9,33.3,69.5,52.2,19,47.6,52,99,57.1
BOS,BOS vs. MIL,10/18/17,L,48,99,108,-9,59,1.53,16.3,29.3,82.5,51,14.9,48.9,49.9,100.5,41.7
BOS,BOS @ CLE,10/17/17,L,48,100,104.1,-4.1,66.7,2,17.9,23.2,77.1,48.1,12.1,45.5,50,98.5,50.9
BKN,BKN @ BOS,4/11/18,L,48,95.1,107.8,-12.7,73,1.69,19,22.8,60.3,41.7,15.7,46.7,49.5,102,45.9
BKN,BKN vs. CHI,4/9/18,W,48,112.9,105,7.9,78,1.78,22.9,16.7,71.4,46.2,17.8,61,64.3,100.5,56.1
BKN,BKN @ CHI,4/7/18,W,48,119.2,93.2,26,78.3,2.4,24.2,18.8,84.6,53,14.4,63,64,103.5,64.6
BKN,BKN @ MIL,4/5/18,W,48,120.2,112.1,8.1,73.2,1.5,22.1,19.4,70.9,50.5,20.2,67.3,70.6,99,55.6
BKN,BKN @ PHI,4/3/18,L,48,92.2,118.6,-26.4,58.8,1.11,15.3,14.3,81.4,43.4,17.5,52.5,52.1,102.5,32.1
BKN,BKN vs. DET,4/1/18,L,48,98,111.3,-13.4,62.2,1.92,17.8,16.7,76,45.2,12.2,49.4,51.3,97.5,41.9
BKN,BKN @ MIA,3/31/18,W,53,98.2,98.2,0,71.8,1.65,18.5,20.8,75.5,48.1,15.2,48.4,53.2,100.98,52.7
BKN,BKN @ ORL,3/28/18,W,48,118.1,110.6,7.4,70,3.11,20.7,27.1,70.4,50,9.6,52.9,57.4,94,55.7
BKN,BKN vs. CLE,3/25/18,L,48,117.5,123.5,-5.9,71.1,2.7,20.3,18.8,71.7,44.7,10.3,56,60.4,97.5,46.7
BKN,BKN @ TOR,3/23/18,L,48,109.8,112.6,-2.8,51.2,1.91,16,17,76.5,48,10.8,55.4,57.4,102.5,47.2
BKN,BKN vs. CHA,3/21/18,L,48,101.9,107.8,-5.8,56.4,1.69,16.1,20.3,57.8,39.8,12.6,48.9,51.3,103,43.2
